rank,Ipo name,Start date,last date,current gmp,retail lot size,Est. profit/lot
1,Glass Wall Systems,08-Sep,10-Sep,66.0,82,5412.0
2,Rentomojo,09-Sep,11-Sep,143.0,37,5291.0
3,Kanohar Electricals,08-Sep,10-Sep,223.0,23,5129.0
4,Pranav Constructions,07-Sep,09-Sep,40.0,120,4800.0
5,Karamtara Engineering,09-Sep,11-Sep,75.0,59,4425.0
6,LCC Projects,09-Sep,11-Sep,40.0,102,4080.0
7,Steamhouse,09-Sep,11-Sep,20.0,185,3700.0
8,Asset Reconstruction,09-Sep,11-Sep,24.0,107,2568.0
9,Manipal Payment and Identity Solutions,09-Sep,11-Sep,8.0,44,352.0
10,Prasol Chemicals,08-Sep,10-Sep,,22,
